timestamp_ist,trade_date,expiry,spot,atm,pcr,max_pain,support,resistance,ce_oi_total,pe_oi_total,verdict
2026-08-26 09:15,2026-08-26,2026-09-01,24340.8,24350,1.16,24300,24200,24500,69883580,80974790,Rangebound
2026-08-26 09:15,2026-08-26,2026-09-08,24340.8,24350,0.89,24300,23500,25000,9830015,8763040,Rangebound
2026-08-26 09:15,2026-08-26,2026-09-15,24340.8,24350,1.46,24300,23900,25000,1231880,1803685,Leaning Bullish
2026-08-26 09:20,2026-08-26,2026-09-01,24332.75,24350,1.13,24300,24200,24500,81580460,92566435,Rangebound
2026-08-26 09:20,2026-08-26,2026-09-08,24332.75,24350,0.91,24300,23500,25000,10150790,9212580,Rangebound
2026-08-26 09:20,2026-08-26,2026-09-15,24332.75,24350,1.47,24300,23900,25000,1251835,1846065,Leaning Bullish
2026-08-26 09:21,2026-08-26,2026-09-01,24338.9,24350,1.12,24300,24200,24500,83998265,94121365,Rangebound
2026-08-26 09:21,2026-08-26,2026-09-08,24338.9,24350,0.92,24300,23500,25000,10174645,9363965,Rangebound
2026-08-26 09:21,2026-08-26,2026-09-15,24338.9,24350,1.48,24300,23900,25000,1253200,1852500,Leaning Bullish
2026-08-26 09:25,2026-08-26,2026-09-01,24345.6,24350,1.14,24300,24200,24500,86208720,98492550,Rangebound
2026-08-26 09:25,2026-08-26,2026-09-08,24345.6,24350,0.96,24300,23500,25000,10319920,9908665,Rangebound
2026-08-26 09:25,2026-08-26,2026-09-15,24345.6,24350,1.49,24300,23900,25000,1261000,1879670,Leaning Bullish
