strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,455000,-20670,Short Covering,8881340,1633710,Short Buildup,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,65,0,N/A,2641015,2255175,Short Buildup,21400-21600
21600,42445,0,N/A,1032785,11180,Short Buildup,21600-21800
21800,130,65,Short Buildup,1351285,312975,Short Buildup,21800-22000
22000,723970,-17615,Short Covering,7191730,1337635,Short Buildup,22000-22200
22200,5265,-715,Long Unwinding,3074565,1105910,Short Buildup,22200-22400
22400,780,65,Short Buildup,3510130,1171560,Short Buildup,22400-22600
22600,7475,130,Short Buildup,3158220,728845,Short Buildup,22600-22800
22800,272415,14170,Long Buildup,6851585,1706770,Short Buildup,22800-23000
23000,1438320,37180,Long Buildup,13315690,3799495,Short Buildup,23000-23200
23200,1797900,110370,Long Buildup,7814040,3674450,Short Buildup,23200-23400
23400,9874020,2651220,Long Buildup,18544955,12433395,Short Buildup,23400-23600
23600,6312930,2052180,Long Buildup,2560220,1207830,Short Buildup,23600-23800
23800,8531965,2168010,Long Buildup,1638910,-62855,Long Unwinding,23800-24000
24000,14248065,111215,Short Buildup,5655985,-85800,Long Unwinding,24000-24200
24200,5636280,-81185,Long Unwinding,1519115,-80340,Long Unwinding,24200-24400
24400,4232410,455390,Short Buildup,1808755,-64935,Short Covering,24400-24600
24600,3457805,931515,Long Buildup,641940,-16510,Short Covering,24600-24800
24800,4454060,74295,Short Buildup,311545,-12480,Short Covering,24800-25000
25000,12103000,658840,Short Buildup,1746925,-79235,Short Covering,25000-25200
25200,854230,108420,Short Buildup,77285,-845,Long Unwinding,25200-25400
25400,342160,50765,Short Buildup,21385,-130,Long Unwinding,25400-25600
25600,242450,97435,Short Buildup,29120,0,N/A,25600-25800
25800,439335,17095,Short Buildup,21125,0,N/A,25800-26000
26000,3371695,-200505,Long Unwinding,1715320,-116610,Long Unwinding,26000-26200
26200,159770,20865,Long Buildup,36920,0,N/A,26200-26400
26400,23205,3315,Long Buildup,2990,0,N/A,26400-26600
26600,37440,1235,Short Buildup,0,0,N/A,26600-26800
26800,13650,11765,Short Buildup,1300,-65,Long Unwinding,26800-27000
27000,1806285,156520,Short Buildup,1420280,-20540,Long Unwinding,27000-27200
27200,146835,57265,Short Buildup,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,280285,4615,Short Buildup,132795,0,N/A,30000-30200
